area,type
Pouteria_cuspidata,trees
Pouteria_filipes,trees
Pouteria_freitasii,trees
Pouteria_guianensis,trees
Pouteria_minima,trees
Pouteria_oppositifolia,trees
Pouteria_pallens,trees
Pouteria_reticulata,trees
Pouteria_rostrata,trees
Pouteria_stipulifera,trees
Pouteria_virescens,trees
Protium_altsonii,trees
Protium_apiculatum,trees
Protium_aracouchini,trees
Protium_decandrum,trees
Protium_giganteum,trees
Protium_hebetatum,trees
Protium_opacum,trees
Protium_pilosum,trees
Protium_trifoliolatum,trees
Pseudolmedia_laevigata,trees
Pseudolmedia_laevis,trees
Pseudopiptadenia_psilostachya,trees
Psidium_guineense,trees
Pterocarpus_officinalis,trees
Pterocarpus_rohrii,trees
Qualea_paraensis,trees
Quararibea_ochrocalyx,trees
Quiina_amazonica,trees
Rhodostemonodaphne_grandis,trees
Rinorea_guianensis,trees
Rinorea_macrocarpa,trees
Rinorea_racemosa,trees
Rollinia_insignis,trees
Roucheria_punctata,trees
Roupala_montana,trees
Ryania_speciosa,trees
Sacoglottis_mattogrossensis,trees
Sapium_glandulosum,trees
Sarcaulus_brasiliensis,trees
Schefflera_morototoni,trees
Schizolobium_amazonicum,trees
Scleronema_micranthum,trees
Sextonia_rubra,trees
Simaba_cedron,trees
Simaba_polyphylla,trees
Simarouba_amara,trees
Siparuna_decipiens,trees
Siparuna_guianensis,trees
Sloanea_excelsa,trees
Sloanea_schomburgkii,trees
Sloanea_synandra,trees
Socrateae_exorrhiza,trees
Sorocea_guilleminiana,trees
Sorocea_muriculata_muriculata,trees
Sterculia_excelsa,trees
Sterigmapetalum_obovatum,trees
Stryphnodendron_guianense,trees
Swartzia_arborescens,trees
Swartzia_cuspidata,trees
Swartzia_oblanceolata,trees
Swartzia_panacoco,trees
Swartzia_polyphylla,trees
Swartzia_reticulata,trees
Symphonia_globulifera,trees
Tabebuia_incana,trees
Tabebuia_serratifolia,trees
Tabernaemontana_angulata,trees
Tabernaemontana_flavicans,trees
Tachigali_chrysophylla,trees
Tachigali_glauca,trees
Tachigali_micropetala,trees
Talisia_mollis,trees
Tapirira_guianensis,trees
Tapura_amazonica,trees
Ternstroemia_urophora,trees
Tetragastris_altissima,trees
Tetragastris_panamensis,trees
Theobroma_grandiflorum,trees
Theobroma_speciosum,trees
Theobroma_subincanum,trees
Theobroma_sylvestre,trees
Thyrsodium_spruceanum,trees
Toulicia_cf._pulvinata,trees
Tovomita_obovata,trees
Trichilia_cipo,trees
Trichilia_pleeana,trees
