taxa	connect_r1	mod_r1	nest_r1	robustness_LL_r1_large_to_small 
mid.large	0.4914286	0.1330026	72.68856	0.7228275
mid.large	0.4744828	0.1318618	71.76727	0.7330041
mid.large	0.4744828	0.1391631	70.99423	0.7298559
mid.large	0.4744828	0.1428137	71.35474	0.7184909
mid.large	0.4744828	0.1377941	73.01973	0.7156457
mid.large	0.4744828	0.1317773	71.9742	0.7349779
mid.large	0.4744828	0.1250592	73.14547	0.7183499
mid.large	0.4744828	0.129183	71.4339	0.7240948
mid.large	0.4744828	0.1403715	70.58749	0.7156828
mid.large	0.4744828	0.1354533	72.42399	0.732824
mid.large	0.4744828	0.1306365	70.73573	0.7029284
mid.large	0.4744828	0.1325886	70.57615	0.7078371
mid.large	0.4744828	0.1350392	73.10693	0.7356406
mid.large	0.4744828	0.1340674	71.99502	0.6992647
mid.large	0.4744828	0.1425095	72.55997	0.7448706
mid.large	0.4744828	0.1394166	68.98204	0.7413989
mid.large	0.4744828	0.1308562	73.1048	0.7299199
mid.large	0.4744828	0.1431433	70.56039	0.7097331
mid.large	0.4744828	0.1355547	69.88447	0.7192054
mid.large	0.4744828	0.13798	70.90707	0.7306905
mid.large	0.4744828	0.140025	71.39595	0.7244304
mid.large	0.4744828	0.13858	73.86611	0.7327672
mid.large	0.4744828	0.1454925	74.41343	0.721359
mid.large	0.4914286	0.1338815	72.0919	0.7085428
mid.large	0.4744828	0.1428052	73.52629	0.7340897
mid.large	0.4744828	0.1305604	73.28044	0.7148266
mid.large	0.4744828	0.1396363	74.01252	0.7371215
mid.large	0.4744828	0.1327407	74.95749	0.7285062
mid.large	0.4744828	0.1386138	74.44792	0.6905671
mid.large	0.4744828	0.1316928	71.11776	0.7164059
mid.large	0.4744828	0.1414109	70.85654	0.6927799
mid.large	0.4744828	0.1450108	75.0726	0.7514081
mid.large	0.4744828	0.1385631	75.40133	0.7456399
mid.large	0.4744828	0.1355969	71.42919	0.7085489
mid.large	0.4744828	0.1353265	73.09084	0.737066
mid.large	0.4744828	0.1279323	70.32626	0.7499703
mid.large	0.4744828	0.137811	74.06579	0.7399689
mid.large	0.4744828	0.1340336	73.93638	0.7514071
mid.large	0.4744828	0.1427038	73.51587	0.7199216
mid.large	0.4744828	0.1357153	70.63127	0.7128422
mid.large	0.4744828	0.1370673	71.51665	0.744207
mid.large	0.4744828	0.1356054	72.83871	0.7242098
mid.large	0.4744828	0.1310421	71.98656	0.7106303
mid.large	0.4744828	0.1361716	69.97272	0.7299184
mid.large	0.4744828	0.1357829	71.1132	0.7227648
mid.large	0.4744828	0.1320308	74.38348	0.759972
mid.large	0.4744828	0.132935	70.2145	0.7154926
mid.large	0.4744828	0.1474277	74.26671	0.7342106
birds	0.186055	0.2446771	39.08752	0.5221077
birds	0.195	0.2538388	39.12996	0.49785
birds	0.1913208	0.2362585	40.12449	0.4901014
birds	0.1931429	0.243759	38.17596	0.4981417
birds	0.186055	0.2463616	39.68599	0.5101083
birds	0.1895327	0.2305008	40.45472	0.5144897
birds	0.186055	0.250567	39.95534	0.5137798
birds	0.179469	0.2382192	43.33033	0.4956162
birds	0.186055	0.2404911	40.9475	0.5081524
birds	0.1843636	0.2351342	38.78399	0.5037165
birds	0.195	0.2481939	38.83239	0.506026
birds	0.1843636	0.2549242	39.0052	0.4889012
birds	0.1877778	0.2406	40.00279	0.498862
birds	0.1843636	0.2452567	38.49044	0.5153381
birds	0.186055	0.2544807	36.25715	0.4899076
birds	0.1827027	0.2364569	38.12292	0.510298
birds	0.1877778	0.2462176	39.14617	0.493272
birds	0.1877778	0.2545974	39.54341	0.4983391
birds	0.1827027	0.2570055	41.35247	0.5214327
birds	0.1827027	0.2409735	41.36416	0.5387852
birds	0.186055	0.245459	40.53921	0.505341
birds	0.1913208	0.2367992	43.39674	0.5008906
birds	0.1843636	0.2352275	39.80786	0.5176038
birds	0.1827027	0.2506293	41.38091	0.4873103
birds	0.1843636	0.2503725	40.39215	0.4960063
birds	0.1827027	0.2410708	41.33349	0.5064423
birds	0.1895327	0.248474	40.71186	0.4944712
birds	0.195	0.2489136	38.76892	0.4886996
birds	0.1843636	0.2456146	40.97722	0.4687623
birds	0.1877778	0.2603589	38.04273	0.5176622
birds	0.1895327	0.2293493	38.3229	0.4902641
birds	0.1913208	0.2531774	39.4742	0.4952502
birds	0.1931429	0.2364724	38.00921	0.4976843
birds	0.1931429	0.2464238	38.98088	0.5041881
birds	0.1843636	0.2571533	38.1881	0.4968639
birds	0.186055	0.2563947	41.31108	0.4858259
birds	0.1778947	0.2516368	37.67923	0.5165562
birds	0.1931429	0.2488047	44.76677	0.4821592
birds	0.1843636	0.2516446	40.67264	0.51827
birds	0.1913208	0.2437823	43.18969	0.5379195
birds	0.1843636	0.253761	44.24506	0.5067183
birds	0.1913208	0.2400243	39.9891	0.530993
birds	0.195	0.2359356	38.60088	0.5058405
birds	0.1827027	0.242234	40.28124	0.5107617
birds	0.1895327	0.247836	39.15743	0.4964398
birds	0.1895327	0.2526717	40.26943	0.5076878
birds	0.186055	0.2481044	39.47071	0.5193877
birds	0.186055	0.2457314	40.42275	0.5206082
birds	0.186055	0.2425491	42.4931	0.4999269
birds	0.186055	0.2492404	40.67528	0.509816
birds	0.179469	0.2328739	40.43406	0.4998185
birds	0.1895327	0.2390906	39.94985	0.5078284
birds	0.1895327	0.2396897	37.82757	0.5103188
birds	0.1843636	0.2461476	39.87709	0.5174867
birds	0.1913208	0.25727	38.8547	0.504435
birds	0.1810714	0.2476415	39.22972	0.517782
birds	0.1810714	0.2464433	40.09259	0.517457
birds	0.186055	0.249256	39.13605	0.5412667
birds	0.1843636	0.2415765	39.27023	0.4790907
birds	0.1810714	0.241133	38.53065	0.5252877
birds	0.1843636	0.233368	39.59245	0.4923143
birds	0.1877778	0.2471319	40.0509	0.4962585
birds	0.1895327	0.2458286	39.40987	0.5180011
birds	0.1877778	0.2391801	39.07308	0.4925887
birds	0.1827027	0.243405	40.94931	0.5257431
birds	0.1913208	0.2314423	38.94975	0.4827715
birds	0.1895327	0.2406351	36.91518	0.477039
birds	0.1810714	0.2490342	40.51377	0.5215665
birds	0.1895327	0.2374917	38.95953	0.5099631
birds	0.186055	0.2431521	38.41646	0.541997
