taxa	species	body_size	body_size_st	degree	normalized.degree	betweenness	nested_contribution	betweenness_igraph
birds	Coccycua_minuta	39.3	10.90576091	1	0.04	0	-0.0070766	0.00E+00
birds	Coereba_flaveola	10.01	2.777777778	2	0.08	0.0102	-0.82335945	3.77E-03
birds	Conopophaga_aurita	26.3	7.298257298	2	0.08	0.002	0.45499068	3.97E-04
birds	Corythopis_torquatus	14.3	3.968253968	2	0.08	0.0012	1.52402697	3.36E-04
birds	Cyanerpes_caeruleus	12	3.33000333	1	0.04	0	-0.68247105	0.00E+00
birds	Cyanoloxia_rothschildii	32.5	9.018759019	3	0.12	0.0069	1.04459876	1.80E-03
birds	Cymbilaimus_lineatus	35.8	9.934509935	1	0.04	0	0.4282169	0.00E+00
birds	Cyphorhinus_arada	20.9	5.7997558	1	0.04	0	0.48343185	0.00E+00
birds	Dendrocincla_fuliginosa	38.7	10.73926074	14	0.56	0.0365	1.58103884	2.40E-02
birds	Dendrocolaptes_certhia	68.7	19.06426906	15	0.6	0.0486	2.1697208	3.06E-02
birds	Dixiphia_pipra	11.11	3.083028083	19	0.76	0.0582	2.7118473	4.88E-02
birds	Dryocopus_lineatus	183.19	50.83527584	1	0.04	0	-1.40256018	0.00E+00
birds	Epinecrophylla_gutturalis	9.2	2.553002553	3	0.12	0.0024	1.51609977	7.58E-04
birds	Formicarius_analis	62.19	17.25774226	4	0.16	0.004	1.50673723	1.28E-03
birds	Formicarius_colma	47	13.04251304	5	0.2	0.0079	1.49846628	3.00E-03
birds	Florisuga_mellivora	7.4	2.053502054	2	0.08	0.0001	-0.38119751	2.42E-05
birds	Galbula_albirostris	22.1	6.132756133	9	0.36	0.0113	1.91556774	6.65E-03
birds	Geotrygon_montana	133.86	37.14618715	3	0.12	0.0032	-0.71769151	8.10E-04
birds	Glaucidium_hardyi	58.3	16.17826618	3	0.12	0.0036	-1.64878745	1.32E-03
birds	Glaucis_hirsutus	6.76	1.875901876	5	0.2	0.0045	-0.79153314	1.91E-03
birds	Glyphorynchus_spirurus	14.6	4.051504052	14	0.56	0.0299	2.75158984	2.08E-02
birds	Gymnopithys_rufigula	29.1	8.075258075	2	0.08	0.0012	1.88950856	3.36E-04
birds	Heliothryx_auritus	5.4	1.498501499	3	0.12	0.0024	-1.23976159	6.85E-04
birds	Hemitriccus_zosterops	8.72	2.41980242	1	0.04	0	1.41900283	0.00E+00
birds	Henicorhina_leucosticta	14.18	3.934953935	3	0.12	0.0033	1.09550087	9.93E-04
birds	Hylophylax_naevius	14.2	3.940503941	2	0.08	0.0069	1.00523602	1.68E-03
birds	Hypocnemis_cantator	12.29	3.41047841	11	0.44	0.0241	2.26697454	1.38E-02
birds	Isleria_guttata	11	3.052503053	12	0.48	0.0231	1.90766495	1.47E-02
birds	Jacamerops_aureus	62.9	17.45476745	1	0.04	0	0.32729143	0.00E+00
birds	Lanio_fulvus	24	6.66000666	1	0.04	0	1.66170632	0.00E+00
birds	Lanio_surinamus	19	5.272505273	11	0.44	0.0203	-0.2686574	9.74E-03
birds	Lepidothrix_serena	11.4	3.163503164	3	0.12	0.0049	1.58288939	1.24E-03
birds	Leptotila_rufaxilla	157	43.56754357	14	0.56	0.0489	1.329082	4.05E-02
birds	Leucopternis_melanops	312	86.58008658	2	0.08	0.0006	-1.26564081	1.63E-04
birds	Lipaugus_vociferans	75.42	20.92907093	1	0.04	0	-1.48752893	0.00E+00
birds	Lophotriccus_galeatus	6.6	1.831501832	1	0.04	0	-0.04602709	0.00E+00
birds	Lophotriccus_vitiosus	6.7	1.859251859	1	0.04	0	-1.04451349	0.00E+00
birds	Malacoptila_fusca	45.4	12.5985126	2	0.08	0.0012	1.76096255	3.36E-04
birds	Manacus_manacus	16.7	4.634254634	2	0.08	0.0054	1.40302988	1.18E-03
birds	Micrastur_gilvicollis	209	57.997558	2	0.08	0.0033	1.69583065	7.06E-04
birds	Micrastur_ruficollis	177.64	49.2951493	1	0.04	0	-0.53958361	0.00E+00
birds	Mionectes_macconnelli	13.5	3.746253746	8	0.32	0.0256	1.78480242	1.07E-02
birds	Mionectes_oleagineus	11.17	3.0996781	8	0.32	0.0066	1.48161387	4.38E-03
birds	Momotus_momota	114.96	31.9014319	7	0.28	0.0229	0.4818322	1.23E-02
birds	Monasa_atra	90.4	25.08602509	5	0.2	0.0043	-0.37981057	2.53E-03
birds	Myiarchus_ferox	27.5	7.631257631	1	0.04	0	-1.47695057	0.00E+00
birds	Myiarchus_tuberculifer	17.7	4.911754912	1	0.04	0	1.35702188	0.00E+00
birds	Myiobius_barbatus	11.9	3.302253302	5	0.2	0.0113	2.00891799	4.38E-03
